artist_name,album_name
Rick Nelson,Bright Lights & Country Music
Bob Dylan,Blonde on Blonde
Buffalo Springfield,Buffalo Springfield
Gene Clark,Gene Clark with the Gosdin Brothers
Rick Nelson,Country Fever
The Nitty Gritty Dirt Band,The Nitty Gritty Dirt Band
Kenny Rogers and The First Edition,The First Edition
Buffalo Springfield,Buffalo Springfield Again
Bob Dylan,John Wesley Harding
The Everly Brothers,Roots
The International Submarine Band,Safe at Home
Buffalo Springfield,Last Time Around
The Byrds,Sweetheart of the Rodeo
The Band,Music from Big Pink
Creedence Clearwater Revival,Creedence Clearwater Revival
Dillard & Clark,The Fantastic Expedition of Dillard & Clark
The Beau Brummels,Bradley's Barn
Brewer & Shipley,Down in L.A.
Mason Proffit Wanted
Brewer & Shipley,Weeds
Creedence Clearwater Revival Bayou Country
Jerry Lee Lewis Another Place, Another Time
The Flying Burrito Brothers,The Gilded Palace of Sin
Ian Matthews,Matthews' Southern Comfort
Buffalo Springfield,Retrospective: The Best of Buffalo Springfield
The Byrds,Dr. Byrds & Mr. Hyde
Linda Ronstadt,Hand Sown ... Home Grown
Bob Dylan,Nashville Skyline
Elvis Presley,From Elvis in Memphis
Neil Young,Everybody Knows This Is Nowhere
John Stewart,California Bloodlines
Poco,Pickin' Up the Pieces
Johnny Cash At San Quentin
Area Code 615,Area Code 615
Creedence Clearwater Revival Green River
Dillard & Clark,Through the Morning Through the Night
The Band,The Band
The Byrds,Ballad of Easy Rider
Steve Young,Rock Salt & Nails
Creedence Clearwater Revival Willy and the Poor Boys
Rick Nelson,In Concert at the Troubadour
Swampwater,Swampwater
Brewer & Shipley,Tarkio
Phil Ochs Greatest Hits
Grateful Dead,Workingman's Dead
Nitty Gritty Dirt Band,Uncle Charlie & His Dog Teddy
Kenny Rogers & The First Edition,Something's Burning
Linda Ronstadt,Silk Purse
Great Speckled Bird,Great Speckled Bird
The Flying Burrito Brothers,Burrito Deluxe
Poco,Poco
Grateful Dead,Workingman's Dead
Michael Nesmith,Magnetic South
Creedence Clearwater Revival,Cosmo's Factory
The Band,Stage Fright
Neil Young,After the Gold Rush
Ringo Starr,Beaucoups of Blues
The Byrds,Untitled
Rick Nelson,Rick Sings Nelson
Bob Dylan,New Morning
Michael Nesmith,Loose Salute
Elvis Presley,Back in Memphis
Grateful Dead,American Beauty
Ry Cooder,Ry Cooder
Creedence Clearwater Revival,Pendulum
Linda Ronstadt,Linda Ronstadt
Mason Proffit,Movin' Toward Happiness
Mason Proffit,Last Night I Had the Strangest Dream
Brewer & Shipley,Shake Off The Demon
Elvis Presley,Elvis Country (I'm 10000 Years Old)
Poco,Deliverin'
New Riders of the Purple Sage,New Riders of the Purple Sage
Commander Cody and His Lost Planet Airmen,Lost in the Ozone
Michael Nesmith,Nevada Fighter
Johnny Cash Man in Black
The Byrds,Byrdmaniax
The Flying Burrito Brothers,The Flying Burrito Brothers
Gene Clark,White Light
Poco,From the Inside
Rick Nelson Rudy the Fifth
The Byrds,Farther Along
Kenny Rogers & The First Edition The Ballad of Calico
Mason Proffit,Rockfish Crossing
The Nitty Gritty Dirt Band,Will the Circle Be Unbroken
Brewer & Shipley Rural Space
Steve Young,Seven Bridges Road
Neil Young,Harvest
Ry Cooder Into the Purple Valley
Michael Nesmith,Tantamount to Treason Vol. 1
Everly Brothers,Stories We Could Tell
Rick Nelson,Garden Party
Pure Prairie League,Pure Prairie League
New Riders of the Purple Sage,Powerglide
Manassas,Manassas
Creedence Clearwater Revival,Mardi Gras
Barefoot Jerry,Barefoot Jerry
Eagles,Eagles
Michael Nesmith,And the Hits Just Keep on Comin'
Pure Prairie League,Bustin' Out
Gene Clark,Roadmaster
Poco,A Good Feelin' To Know
Ry Cooder Boomer's Story
Ian Matthews,Journeys from Gospel Oak
Linda Hargrove,Music Is Your Mistress
Mason Proffit,Bare Back Rider
John Kay,My Sportin' Life
Gram Parsons,GP
John Fogerty The Blue Ridge Rangers
Ozark Mountain Daredevils,Ozark Mountain Daredevils
Eagles,Desperado
The Marshall Tucker Band,The Marshall Tucker Band
Poco,Crazy Eyes
Michael Nesmith,Pretty Much Your Standard Ranch Stash
Ian Matthews,Valley Hi
Gene Parsons,Kindling
New Riders of the Purple Sage,The Adventures of Panama Red
Mason Proffit,Come And Gone
Souther-Hillman-Furay Band,The Souther-Hillman-Furay Band
Brewer & Shipley ST1Gram Parsons,Grievous Angel
