artist_name,album_name
Run-D.M.C.,Run-D.M.C.
LL Cool J,Radio
Schoolly D,Schoolly D
Run-D.M.C.,Raising Hell
Beastie Boys,Licensed to Ill
Boogie Down Productions,Criminal Minded
Eric B. & Rakim,Paid in Full
Biz Markie,Goin' Off
Slick Rick,The Great Adventures of Slick Rick
EPMD,Strictly Business
Big Daddy Kane,Long Live the Kane
Public Enemy,It Takes a Nation of Millions to Hold Us Back
N.W.A,Straight Outta Compton
MC Lyte,Lyte as a Rock
Ultramagnetic MC's,Critical Beatdown
Jungle Brothers,Straight out the Jungle
De La Soul,3 Feet High and Rising
Beastie Boys,Paul's Boutique
Queen Latifah,All Hail the Queen
Jungle Brothers,Done by the Forces of Nature
Public Enemy,Fear of a Black Planet
A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm
X-Clan,To the East Blackwards
Ice Cube,AmeriKKKa's Most Wanted
Brand Nubian,One for All
De La Soul,De La Soul Is Dead
Main Source,Breaking Atoms
Cypress Hill,Cypress Hill
A Tribe Called Quest,The Low End Theory
Scarface,Mr. Scarface Is Back
Redman,Whut? Thee Album
The Pharcyde,Bizarre Ride II the Pharcyde
Dr. Dre,The Chronic
Souls of Mischief,93 'til Infinity
Wu-Tang Clan,Enter the Wu-Tang (36 Chambers)
Snoop Doggy Dogg,Doggystyle
A Tribe Called Quest,Midnight Marauders
Nas,Illmatic
Organized Konfusion,Stress (The Extinction Agenda)
The Notorious B.I.G.,Ready to Die
Common,Resurrection
Bone Thugs-N-Harmony,E. 1999 Eternal
Mobb Deep,The Infamous
Raekwon,Only Built 4 Cuban Linx...
The Fugees,The Score
Jay-Z,Reasonable Doubt
Nas,It Was Written
Makaveli,The Don Killuminati: The 7 Day Theory
Lauryn Hill,The Miseducation of Lauryn Hill
Outkast,Aquemini
DMX,It's Dark and Hell Is Hot
Eminem,The Slim Shady LP
Eminem,The Marshall Mathers LP
Jay-Z,The Blueprint
Nas,Stillmatic
Cannibal Ox,The Cold Vein
Eminem,The Eminem Show
Nas,God's Son
Nas,The Lost Tapes
Aesop Rock,Labor Days
Jay-Z,The Black Album
Outkast,Speakerboxxx/The Love Below
Kanye West,The College Dropout
Madvillain,Madvillainy
Kanye west,Late Registration
Kanye West,808s & Heartbreak
Lil Wayne,Tha Carter III
Kanye West,My Beautiful Dark Twisted Fantasy
Kendrick Lamar,Good Kid M.A.A.D City
Kendrick Lamar,To Pimp A Butterfly
