artist_name,album_name
AC/DC,Back In Black
Aerosmith,Rocks
Aerosmith,Toys in the Attic
The Band,The Band
The Band,The Last Waltz
The Band,Music from Big Pink
The Beach Boys,Pet Sounds
Beastie Boys,Paul's Boutique
The Beatles,Abbey Road
The Beatles,A Hard Day's Night
The Beatles,Revolver
The Beatles,Rubber Soul
The Beatles,Sgt. Pepper's Lonely Hearts Club Band
The Beatles,The Beatles
Beck,Odelay
Big Brother & the Holding Company,Cheap Thrills
Blondie,Parallel Lines
Boston,Boston
David Bowie,Heroes
David Bowie,Hunky Dory
David Bowie,Low
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars
Jackson Browne,Late for the Sky
Jackson Browne,Running on Empty
James Brown,Live at the Apollo
James Brown,Star Time
Jeff Buckley,Grace
Buffalo Springfield,Buffalo Springfield Again
The Byrds,The Byrds' Greatest Hits
The Byrds,Sweetheart of the Rodeo
The Byrds,Mr. Tambourine Man
Johnny Cash,The Sun Years
Ray Charles,Modern Sounds in Country and Western Music
The Cars,The Cars
Eric Clapton,461 Ocean Boulevard
The Clash,London Calling
Joe Cocker,Mad Dogs & Englishmen
Leonard Cohen,Songs of Leonard Cohen
Sam Cooke,The Man and His Music
Alice Cooper,Hey Stoopid
Alice Cooper,Love it to Death
Alice Cooper,School's Out
Elvis Costello & The Attractions,Armed Forces
Elvis Costello,My Aim Is True
Elvis Costello,This Year's Model
David Crosby,If I Could Only Remember My Name
Sheryl Crow,C'mon C'mon
Sheryl Crow,The Globe Sessions
Sheryl Crow,Sheryl Crow
Miles Davis,Bitches Brew
Deep Purple,In Rock
Deep Purple,Machine Head
Deep Purple,Made in Japan
Derek & the Dominos,Layla and Other Assorted Love Songs
Bo Diddley,Go Bo Diddley
Bo Diddley,Bo Diddley's Beach Party
Dire Straits,Dire Straits
The Doors,The Doors
The Doors,L.A. Woman
The Doors,Morrison Hotel
Nick Drake,Bryter Layter
Bob Dylan,Blonde on Blonde
Bob Dylan,Blood on the Tracks
Bob Dylan,Bringing It All Back Home
Bob Dylan,Highway 61 Revisited
Bob Dylan,Live at Albert Hall
Bob Dylan & The Band,The Basement Tapes
Eagles,Desperado
Eagles,Hotel California
Brian Eno,Another Green World
The Everly Brothers,Cadence Classics: Their 20 Greatest Hits
Fleetwood Mac,Rumours
The Flying Burrito Brothers,The Gilded Palace of Sin
Aretha Franklin,I Never Loved a Man the Way I Love You
Aretha Franklin,Lady Soul
Peter Gabriel,So
Marvin Gaye,What's Going On
Genesis,Selling England by the Pound
Grateful Dead,American Beauty
Grateful Dead,Live/Dead
Al Green,Call Me
Guns N' Roses,Appetite for Destruction
PJ Harvey,To Bring You My Love
PJ Harvey,Dry
John Hiatt,Bring the Family
Lauryn Hill,The Miseducation of Lauryn Hill
Hole,Live Through This
Buddy Holly,The "Chirping" Crickets
Buddy Holly,20 Golden Greats
Hot Tuna,Hot Tuna
Husker Du,Zen Arcade
Jane's Addiction,Nothing's Shocking
Jefferson Airplane,Surrealistic Pillow
Jethro Tull,Aqualung
Jethro Tull,Stand Up
The Jimi Hendrix Experience,Axis: Bold as Love
The Jimi Hendrix Experience,Electric Ladyland
The Jimi Hendrix Experience,Are You Experienced
Billy Joel,The Stranger
Billy Joel,52nd Street
Elton John,Goodbye Yellow Brick Road
Janis Joplin,Pearl
Joy Division,Closer
B.B. King,Live at the Regal
King Crimson,In the Court of the Crimson King
The Kinks,Greatest Hits!
The Kinks,Something Else by The Kinks
The Kinks,The Kinks Are the Village Green Preservation Society
Led Zeppelin,Led Zeppelin
Led Zeppelin,Led Zeppelin II
Led Zeppelin,Led Zeppelin III
Led Zeppelin,Led Zeppelin IV
Led Zeppelin,Houses of the Holy
Led Zeppelin,Physical Graffiti
Led Zeppelin,Presence
Led Zeppelin,In Through the Out Door
Lowtide,Lowtide
John Lennon,Imagine
John Lennon,Plastic Ono Band
Love,Forever Changes
Lynyrd Skynyrd,Pronounced Leh-Nerd Skin-Nerd
Massive Attack,Blue Lines
John Mayall,Blues Breakers with Eric Clapton
Paul McCartney & Wings,Band on the Run
Metallica,Master of Puppets
Metallica,Metallica
+Minutemen,Double Nickels on the Dime
Joni Mitchell,Blue
Joni Mitchell,Court and Spark
The Modern Lovers,The Modern Lovers
Van Morrison,Astral Weeks
Van Morrison,Moondance
My Bloody Valentine,Loveless
New York Dolls,New York Dolls
Randy Newman,12 Songs
Randy Newman,Good Old Boys
Nirvana,Nevermind
Oasis,(What's the Story) Morning Glory?
Sinead O'Connor,I Do Not Want What I Haven't Got
